Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment,stage,library_type
SRR24653523,ATAC-seq,132,8518734444,PRJNA974167,SAMN35174269,2751592993,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433460,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7385005,PAIRED,other,GENOMIC,Oryza sativa,ILLUMINA,2025-08-07T00:00:00Z,2023-05-19T03:13:00Z,1,GSM7385005,Culm,SRP438549,Culm,normal,80-day-old,
SRR24653525,RNA-Seq,300,101959109400,PRJNA974167,SAMN35174270,39148126057,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433459,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7385004,PAIRED,cDNA,TRANSCRIPTOMIC,Oryza sativa,ILLUMINA,2025-05-28T00:00:00Z,2023-05-19T04:30:00Z,1,GSM7385004,Culm,SRP438549,Culm,normal,80-day-old,
SRR24653526,RNA-Seq,300,103729878000,PRJNA974167,SAMN35174271,39904501686,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433458,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7385003,PAIRED,cDNA,TRANSCRIPTOMIC,Oryza sativa,ILLUMINA,2025-05-28T00:00:00Z,2023-05-19T04:34:00Z,1,GSM7385003,Culm,SRP438549,Culm,normal,80-day-old,
SRR24653527,RNA-Seq,300,99634732200,PRJNA974167,SAMN35174274,37975859935,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433457,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7385000,PAIRED,cDNA,TRANSCRIPTOMIC,Oryza sativa,ILLUMINA,2025-05-28T00:00:00Z,2023-05-19T06:02:00Z,1,GSM7385000,Young Spike,SRP438549,Young Spike,normal,100-day-old,
SRR24653528,ATAC-seq,132,10417891044,PRJNA974167,SAMN35174272,3274269962,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433455,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7385002,PAIRED,other,GENOMIC,Oryza sativa,ILLUMINA,2025-08-07T00:00:00Z,2023-05-19T03:26:00Z,1,GSM7385002,Young Spike,SRP438549,Young Spike,normal,100-day-old,
SRR24653532,ATAC-seq,132,7551176424,PRJNA974167,SAMN35174273,2396593396,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433454,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7385001,PAIRED,other,GENOMIC,Oryza sativa,ILLUMINA,2025-08-07T00:00:00Z,2023-05-19T03:19:00Z,1,GSM7385001,Young Spike,SRP438549,Young Spike,normal,100-day-old,
SRR24653538,RNA-Seq,300,103486300800,PRJNA974167,SAMN35174284,38373829645,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433452,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7384990,PAIRED,cDNA,TRANSCRIPTOMIC,Oryza sativa,ILLUMINA,2025-05-28T00:00:00Z,2023-05-19T05:14:00Z,1,GSM7384990,Crown Root,SRP438549,Crown Root,normal,10-day-old,
SRR24653539,ATAC-seq,132,9328205700,PRJNA974167,SAMN35174283,3004729308,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433451,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7384991,PAIRED,other,GENOMIC,Oryza sativa,ILLUMINA,2025-08-07T00:00:00Z,2023-05-19T03:36:00Z,1,GSM7384991,Crown Root,SRP438549,Crown Root,normal,10-day-old,
SRR24653543,RNA-Seq,300,105079119900,PRJNA974167,SAMN35174285,38764198677,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433450,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7384989,PAIRED,cDNA,TRANSCRIPTOMIC,Oryza sativa,ILLUMINA,2025-05-28T00:00:00Z,2023-05-19T05:16:00Z,1,GSM7384989,Crown Root,SRP438549,Crown Root,normal,10-day-old,
SRR24653544,RNA-Seq,300,104498559000,PRJNA974167,SAMN35174288,40996535825,CHINESE ACADEMY OF AGRICULTRUAL SCIENCES,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20433449,Nipponbare,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7384986,PAIRED,cDNA,TRANSCRIPTOMIC,Oryza sativa,ILLUMINA,2025-05-28T00:00:00Z,2023-05-19T05:02:00Z,1,GSM7384986,Third Leaf,SRP438549,Third Leaf,normal,21-day-old,
